Title,Speaker,Date,Link
Promoting the systematic use of real-world data and real-world evidence for digital health technologies across Europe: A consensus framework,"Dr. Divya Srivastava, LSE ", 22 November 2023,https://socialdatascience.network/fall2023/sess4.html
Data science for the Sustainable Development Goals: the case of food security,"Prof. Elisa Omodei, CEU ", 18 October 2023,https://socialdatascience.network/fall2023/sess3.html
CentralBankRoBERTa: A Fine-Tuned Large Language Model for Central Bank Communications,Moritz Pfeifer & Vincent Philipp Marohl , 27 September 2023,https://socialdatascience.network/fall2023/sess2.html
"The Evolution of the Climate Discourse on Twitter: Polarization, Hypocrisy, and the Musk Takeover",Dr. Max Falkenberg , 13 September 2023,https://socialdatascience.network/fall2023/sess1.html
The Handbook of Computational Social Science for Policy,Dr. Eleonora Bertoni , 31 May 2023,https://socialdatascience.network/spring2023/sess7.html
"Artificial Intelligence, Algorithmic Recommendations and Competition",Prof. Giacomo Calzolari , 03 May 2023,https://socialdatascience.network/spring2023/sess6.html
Exploring A New Model of Industry/Academic Collaboration: the U.S. 2020 Facebook and Instagram Election Study,Prof. Pablo Barberá , 19 April 2023,https://socialdatascience.network/spring2023/sess5.html
Using Multimodal Neural Networks to Better Understand How Voters Process Audiovisual Information,Prof. Bryce Jensen Dietrich , 22 March 2023,https://socialdatascience.network/spring2023/sess4.html
"Models, mathematics, and data science: how to make sure we're answering the right questions",Dr. Erica Thompson , 08 March 2023,https://socialdatascience.network/spring2023/sess3.html
CIVICA Conference on European Polarisation,Full day event , 15 February 2023,https://socialdatascience.network/polarisation/2023.html
New Faces of Bias in Online Platforms,Prof. Aniko Hannak , 08 February 2023,https://socialdatascience.network/spring2023/sess2.html
Introducing the Online Harms Observatory: AI powered mapping of online abuse in real-time,Pica Johnsson , 11 January 2023,https://socialdatascience.network/spring2023/sess1.html
Using Open Source Data Streams and Surveys to Improve Our Understanding of Elections,Prof. Lisa Singh , 02 November 2022,https://socialdatascience.network/fall2022/sess3.html
Does Epistemic Vice Explain Corporate Misconduct?,Dr. Marco Meyer , 19 October 2022,https://socialdatascience.network/fall2022/sess2.html
Becoming a data scientist: what it means to put data to work,Prof. Anne Beaulieu , 14 September 2022,https://socialdatascience.network/spring2022/sess10.html
The Making of a French Migration Crisis,Dr. Michelle Reddy & Dr. Hélène Thiollet , 15 June 2022,https://socialdatascience.network/spring2022/sess9.html
A New Approach to Visualizing Spatial Exposure Data for Comparing Earthquakes,Prof. Stephanie Lackner , 01 June 2022,https://socialdatascience.network/spring2022/sess8.html
Modeling Sustainable Development from the Bottom Up,Dr. Omar A. Guerrero , 04 May 2022,https://socialdatascience.network/spring2022/sess7.html
Internet Communities and the French Presidential Election,Prof. David Chavalarias , 20 April 2022,https://socialdatascience.network/spring2022/sess6.html
The Science of Success: Quantifying Outcomes in Social System,Prof. Laszlo Barabasi , 09 March 2022,https://socialdatascience.network/spring2022/sess5.html
Embedding Regression: Models for Context-Specific Description and Inference,Prof. Arthur Spirling ,23 February 2022,https://socialdatascience.network/spring2022/sess4.html
Information and Irregular Migration: Evidence from a Field Experiment in Nigeria,Dr. Alexandra Scacco , 09 February 2022,https://socialdatascience.network/spring2022/sess3.html
Adjusting for Confounding with Text Matching,Prof. Margaret Roberts ,26 January 2022,https://socialdatascience.network/spring2022/sess2.html
What is Data Feminist?,Prof. Lauren Klein ,12 January 2022,https://socialdatascience.network/spring2022/sess1.html
The Principles of Collective Learning,Prof. Cesar A. Hidalgo , 1 December 2021,https://socialdatascience.network/fall2021/sess7.html
More Than Words: How Political Rhetoric Shapes Voters' Affect and Evluation,Prof. Christopher Lucas , 3 November 2021,https://socialdatascience.network/fall2021/sess5.html
Serendipity or Confinement? Deconstructing Algorithmic Recommendation,Prof. Camille Roth ,20 October 2021,https://socialdatascience.network/fall2021/sess4.html
Framing a Protest: Determinants and Effects of Visual Frames,Prof. Michelle Torrest ,06 October 2021,https://socialdatascience.network/fall2021/sess3.html
Understanding Beautiful Places with AI,Prof. Suzy Moat ,"22 September, 2021",https://socialdatascience.network/sess9.html
Incentives and Covid-19 Vaccination Uptake,Prof. Macartan Humphreys,08 September 2021,https://socialdatascience.network/fall2021/sess1.html
The Art of Quantitative Editing,Dr. Laura Bronner,02 June 2021,https://socialdatascience.network/sess7.html
Breaking the Social Media Prism,Chris Bail,"19 May, 2021",https://socialdatascience.network/sess6.html
Using Public Video Cameras to Detect Racial Distancing on City Streets,Dr. Melissa Sands ,05 May 2021,https://socialdatascience.network/sess5.html
How to Detect Fake News Before It Is Written,Dr. Preslav Nakov,21 April 2021,https://socialdatascience.network/sess4.html
Negotiating with AI: Fairness in the Labor Market,Prof. Christo Wilson,"07 April, 2021",https://socialdatascience.network/sess3.html
Tracking Covid-19 with the Financial Times,John Burn-Murdoch,24 March 2021,https://socialdatascience.network/sess2.html
Police Diversity to Prevent Violence: Does It Work?,Roman Rivera,17 March 2021,https://socialdatascience.network/sess1.html
Data Science in the Time of Covid and What Happens After,Launch Event,"24 February, 2021",https://socialdatascience.network/launch.html
